tiempo,origin,timestamp,class,details
2024-02-29 18:36:40.664394,NodoTest001,745092,received,1709242600572
2024-02-29 18:36:40.708641,NodoTest001,745136,received,1709242600672
2024-02-29 18:36:40.870853,NodoTest001,745296,received,1709242600771
2024-02-29 18:36:40.908922,NodoTest001,745334,received,1709242600872
2024-02-29 18:36:41.006489,NodoTest001,745434,received,1709242600972
2024-02-29 18:36:41.265271,NodoTest001,745683,keepAlive,
2024-02-29 18:36:41.297654,NodoTest001,745707,received,1709242601071
2024-02-29 18:36:41.305653,NodoTest001,745719,received,1709242601172
2024-02-29 18:36:41.470674,NodoTest001,745735,received,1709242601271
2024-02-29 18:36:41.484328,NodoTest001,745911,received,1709242601372
2024-02-29 18:36:41.506834,NodoTest001,745934,received,1709242601471
2024-02-29 18:36:41.696297,NodoTest001,746116,received,1709242601572
2024-02-29 18:36:41.707623,NodoTest001,746134,received,1709242601671
